0001.wav|CAPITULO UNO						
0083.wav|Mira que perderías el tiempo y correrías peligro de mentir						
0084.wav|Ya sabes que los noveladores inventan ciudades que no existen, y de las cuales no te daría noticia ni el mismísimo García Cubas 						
0085.wav|Tampoco busques en los capítulos que vas a leer hondas trascendencias y problemas al uso						
0086.wav|No entiendo de tamañas sabidurías, y aunque de ellas supiera me guardaría de ponerlas en novela;						
0087.wav|que al fin y a la postre las obras de este género,—poesía, pura poesía,—no son más que libros de grata,						
0088.wav|apacible diversión para entretener desocupados y matar las horas, libritos efímeros que suelen parar,						
0089.wav|olvidados y comidos de polilla, en un rincón de las bibliotecas						
0090.wav|Además.wav|una novela es una obra artística;						
0091.wav|el objeto principal del Arte es la belleza, y			 ¡con eso le basta!			
0092.wav|Mas si por acaso fueses de esos críticos zahoríes que adivinan o presumen de adivinar las intenciones y propósitos de un autor, 						
0093.wav|para que el mejor día no salgas diciendo que quise decir esto o aquello,						
0094.wav|te declaro que tengo en aborrecimiento las novelas tendenciosas, y que con esta novelita,						
0095.wav|si tal nombro merecen estas páginas, sólo aspiro a divertir tus fastidios y alegrar tus murrias						
0096.wav|Y no me pidas otra cosa, y queda con Dios						
0097.wav|Orizaba, a treinta de Julio de mil ocho cientos noventa y tres						
0098.wav|CAPITULO UNO						
0099.wav|La diligencia iba que volaba						
0100.wav|Sin embargo, me parecía lenta y pesada como una tortuga						
0101.wav|Ya no me causaba repugnancia el hedor de los cueros engrasados, ni me ahogaba el polvo,						
0102.wav|ni me arrancaban una sola queja los tumbos del incómodo y ruidoso vehículo						
0103.wav|Hubiera yo querido duplicar el tiro, emborrachar a los cocheros y hostigar a las bestias, a fin de recorrer en pocos minutos las tres leguas que faltaban para llegar a Villaverde						
0104.wav|Aniquilado por la impaciencia, me arrinconé en el asiento, delante de la anciana y junto al ganadero;						
0105.wav|recogí la indomable cortina y me puse a contemplar el paisaje, aquellos campos fértiles y ricos, aquellas montañas cubiertas de abetos, vistos diez años antes, 						
0106.wav|a través de las lágrimas, una fría mañana del mes de Enero a los fulgores purpúreos del sol naciente						
0107.wav|Nada había variado las arboledas, más copadas, conservaban la misma disposición, el mismo aspecto;						
0108.wav|el caserío de la hacienda próxima volvía ante mis ojos igual, idéntico, como una estampa admirada en la niñez,						
0109.wav|y que el mejor día, cuando menos lo esperamos, viene a recordarnos épocas dichosas						
0110.wav|Blancas las paredes del lado del Poniente;						
0111.wav|las orientales, pardas, ennegrecidas por los vientos salobres de la Costa						
0112.wav|Las enredaderas, que trepaban por la torrecilla hasta prender sus tallos en la cruz de hierro, hacían gala de sus						
0113.wav|y en las cornisas, en los tejados, en los árboles, friolentas palomas, pichones tornasolados, esperaban la noche para recogerse al amoroso nido 						
0114.wav|El triste Octubre prodigaba en laderas y rastrojos amarillas flores, y al soplo del viento que pasaba susurrando, los fresnos se estremecían y dejaban caer las muertas hojas	 					
0115.wav|En el ancho camino el rechinar lejano de una carreta vacía, y orilladas a un vallado de piedras, paso a paso,						
0116.wav|vuelto el arado doblegadas al yugo y seguidas de los gañanes, media docena de yuntas que volvían de los barbechos	 					
0117.wav|En el real solitario, junto al estanque de aguas turbias, una parvada de ocas;						
0118.wav|los techos pajizos envueltos en la gasa del humo vespertino;						
0119.wav|detrás, la casa de la hacienda, vetusta en parte, con aires de arruinada fortaleza, en parte sonriente y alegre,						
0120.wav|restaurada, rejuvenecida al gusto europeo, dejando adivinar en las vidrieras luminosas y en las verdes persianas un interior elegante y rico	 					
0121.wav|Fondo de aquel hermoso cuadro, graciosa cordillera, valles conocidos y amados,						
0122.wav|un cielo límpido y puro, por el cual ascendía la creciente luna semi velada en un celaje						
0123.wav|—¿De quién es esta hacienda? —pregunté						
0124.wav|Lo hice, acaso con el pensamiento, porque nadie me respondió						
0125.wav|La anciana dormitaba; el ganadero doblaba cuidadosamente, por la milésima vez, su valioso zarape multicolor						
0126.wav|—¿Cómo se llama esta finca?						
0127.wav|¿De quién es? —repetí						
0128.wav|—Santa Clara			 Es de un tal Fernández			
0129.wav|—murmuró el campesino, exclamando en seguida, sin dejar el jorongo—¡Buena boyada!						
0130.wav|¡Hartos pesos! Alzan aquí unas cosechas, amigo, unas cosechas			 que			 ¡vaya!
0131.wav|Seguí entregado a la contemplación del paisaje						
0132.wav|Para mí se hacía transparente, como para dejarme ver entre sombras una casa humilde y modesta,						
0133.wav|la casa paterna, donde me aguardaban mis tías, dos hermanas de mi madre, dos ancianas amables y cariñosas						
0134.wav|Único amparo del niño desdichado que no tuvo la buena suerte de conocer a sus padres,						
0135.wav|ellas le recogieron, le criaron, y a costa de no pocos sacrificios le proporcionaban educación						
0136.wav|El que salió chiquillo volvía hecho un mancebo;						
0137.wav|venía crecido y guapo;						
0138.wav|negro bozo le sombreaba los labios;						
0139.wav|no había malogrado tantos afanes, y en él cifraban las buenas señoras toda su dicha						
0140.wav|Ya estarían disponiéndose para ir a recibirle;						
0141.wav|ya le tendrían lista la alcoba y la merienda						
0142.wav|¡Ah! sí, todo quedaría dispuesto y bien arreglado						
0143.wav|La recamarita, aquella que daba al patio, muy aseada y cuca, con su cama albeando, con su aguamanil provisto de todo	 					
0144.wav|Y allí estaría, sin duda, el retrato del abuelo, muy estirado, de gran uniforme, el pecho cuajado de cruces						
0145.wav|¡El abuelito! Un general del antiguo ejército, honor y gloria de la familia;						
0146.wav|santanista feroz que peleó en Tampico y en Veracruz, que se batió como un héroe en Churubusco;						
0147.wav|y que siguió a SAS a las Antillas, de donde volvió desengañado, viejo, enfermo, y			 pobre			
0148.wav|Habrían colocado también, a la cabecera, el cuadrito de San Luis Gonzaga, que no quise llevarme, a pesar de las súplicas de mi tía Carmen	 					
0149.wav|Ella me le regaló el día que hice mi primera comunión						
0150.wav|Piadoso obsequio, dulce recuerdo de aquel Viernes de Dolores venturoso y feliz en que mi alma tenía la pureza de las azucenas;						
0151.wav|en que los cielos y la tierra me sonreían, cuando en el templo alfombrado de amapolas, entre el humo de los incensarios, 						
0152.wav|a los acordes solemnes del órgano, delante de un altar, resplandeciente, me acerqué trémulo, anonadado, a recibir el Pan Eucarístico	 					
0153.wav|Me parece que veo al sacerdote, venerable anciano de aspecto dulcísimo como San Vicente de Paul, que,						
0154.wav|seguido de los acólitos que vestían mantos nuevos y sobrepellices limpias, descendía, trayendo en una mano áureo copón, y en la otra la Forma Inmaculada	 					
0155.wav|De un lado las niñas, cubiertas con velos vaporosos, ceñida la sien de rosas blancas;						
0156.wav|del opuesto nosotros, los varoncitos, de gala, ornado el brazo con un moño de moaré flecado de oro						
0157.wav|Y luego, la salida del Templo, después de dar gracias						
0158.wav|¡Ah! ¡Qué alegremente que repicaban las campanas! ¡Cómo olían los aires a primavera! Venían las brisas cargadas de azahar, 						
0159.wav|y esparcían por la ciudad no sólo el aroma de los naranjales, sino los mil olores de los huertos y de los bosques cercanos; 						
0160.wav|los aromas embriagantes de las amapolas, de los acónitos y de los jinicuiles florecidos,						
0161.wav|como si la naturaleza despilfarrara todos sus perfumes en obsequio de los niños que volvían a sus hogares						
0162.wav|Y allí, ¡qué fiesta tan hermosa! ¡Qué desayuno aquel! ¡El comedor que parecía un jardín! Sobre blanco mantel las garrafas llenas de leche fresca; 						
0163.wav|en fuentes que sólo salían cuando repicaban recio, pasteles, tortas, hojaldres,						
0164.wav|las bizcotelas del convento de las Teresitas, suaves, esponjadas, porosas, llovidas de azúcar como nieve;						
0165.wav|vasos y copas que de limpios parecían diamantes						
0166.wav|En grandes jarrones de porcelana española,—los viejos jarrones de la familia,—frescos ramilletes de rosas, lirios y azucenas; 						
0167.wav|y por todas partes, regados aquí y allá, pétalos rosados, amarillos, blancos, purpúreos;						
0168.wav|y apiladas en torno de mi taza, las místicas y caducas balsaminas,—los chinos de castor,—que de ordinario engalanaban la humilde lamparilla de la Dolorosa,						
0169.wav|lucían ahora en aquel banquete religioso su nívea veste manchada de carmín						
0170.wav|En la vasera, convertida en altar, entre dos candelabros con las velas encendidas, el cuadrito de San Luis Gonzaga,						
0171.wav|el santo angelical, ofreciendo de rodillas, ante la Reina de los Cielos, lisada corona, la vida y el alma						
0172.wav|Enfrente el retrato del abuelito, el abuelo que muy grave y serio parecía desarrugar el adusto ceño para sonreír a su nieto	 					
0173.wav|Al concluir el alegre desayuno, cuando me levantaba yo ahíto de pasteles, mi tía Pepa, entre afable y severa,						
0174.wav|me detuvo diciendo—Te falta una cosa, Rodolfo			 —¿Qué cosa, tía? —¡Dar gracias!			
0175.wav|Me hicieron rezar el Padre nuestro, el Ave María, la oración de San Luisito, y un réquiem, y otro, y otro más, por el abuelito, por la abuelita y por mis padres	 					
0176.wav|¡Cómo me entristecieron las fúnebres preces! ¡Pasó por mi alma no sé qué, algo como una sombra de fugitivo dolor!						
0177.wav|El carruaje iba a todo correr por el ancho camino						
0178.wav|La noche venía, y el caserío se perdía en las tinieblas						
0179.wav|Al fin de la dehesa, al otro lado del riachuelo, detrás de una hilera de sauces babilónicos, blanqueaba el templo, cuyas campanas convocaban a la oración	 					
0180.wav|En las vertientes, en los repliegues de las montañas, en las espesuras del valle, fulguraban las hogueras						
0181.wav|La noche obscurecía los matorrales cercanos;						
0182.wav|llegaban hasta nosotros el mugir de las reses y el torear de los vaqueros;						
0183.wav|un ejército alado cruzaba los espacios raudo y vibrante, y en el cielo sin nubes brillaba la triste luna con apacible claridad	 					
0184.wav|Desde lo alto de la cuesta descubrimos la ciudad						
0185.wav|Silenciosa y lánguida, se me antojó rendida de cansancio						
0186.wav|A la pálida luz del astro nocturno columbré los principales edificios, el convento de los franciscanos, pesado y sombrío; 						
0187.wav|la iglesia del Cristo con su arrogante cúpula;						
0188.wav|la Parroquia, la Casa Municipal, y a la derecha, en el montecillo, en una loma, siempre tapizada de mullido césped,						
0189.wav|la capilla de San Antonio, donde las muchachas solteras y sin galán iban a rezar y a decir aquello de						
0190.wav|Bendito San Antonio, tres cosas te pido salvación, y dinero, y un buen marido;						
0191.wav|y donde los chicos de la Escuela del Cura y los de la Escuela Nacional reñían tremendas batallas						
0192.wav|Allí, en la sabanita, a espaldas del santuario, eran las carreras de caballos el día de San Juan						
0193.wav|Poco tiempo, pocas horas, y de mañanita iría yo con algunos amigos de la infancia a recorrer aquellos sitios						
0194.wav|Subiríamos al campanario para mirar desde allí el magnífico panorama de Villaverde,						
0195.wav|tan hermoso, tan bello para mí, que otros, tal vez mejores, no me le hicieran olvidar						
0196.wav|La diligencia se detuvo en la garita						
0197.wav|Los guardas salieron a cobrar no sé qué gabela de seguridad pública, con lo cual no había contado el pobre estudiante escaso de dineros	 					
0198.wav|¿Qué hacer? ¿Le detendrían si no pagaba?						
0199.wav|Lleno de angustia registré mis bolsillos						
0200.wav|¡Nada! El ganadero comprendió lo que me pasaba, y desprendido, francote como era, veracruzano al fin,						
0201.wav|pagó por la anciana y por mí, antes de que dijésemos una palabra						
0202.wav|Diciendo pestes del recaudador, que le oía sereno e inmutable, y echando ternos contra el Gobierno,						
0203.wav|que cobraba semejantes impuestos sin mantener en los caminos ni un soldado, volvió a su asiento y a su zarape multicolor	 					
0204.wav|Allí el vehículo comenzó a dar tumbos y más tumbos						
0205.wav|Las calles de Villaverde estaban peores que la carretera						
0206.wav|Fui reconociendo las casas y sitios de aquel barrio perdidos en mi memoria						
0207.wav|Tenduchas solitarias, alumbradas por un farolillo;						
0208.wav|casucas de madera deshabitadas y miserables;						
0209.wav|expendios de bebidas y comestibles, donde grupos de obreros y campesinos charlaban y fumaban frente a un vaso de toronjil o de naranja amarga	 					
0210.wav|Más adelante jarcierías y almacenes de pasturas;						
0211.wav|ancho portal en que pernoctaban unos arrieros, y cerca del cual ardía una fogata;						
0212.wav|luego, la calle anchísima						
0213.wav|Allí más animación, más vida;						
0214.wav|gentes que iban y venían;						
0215.wav|el alumbrado público, faroles con lámparas de petróleo, que solo servían para dejar que se viese la obscuridad;						
0216.wav|jinetes que volvían de las haciendas y de los pueblos cercanos;						
0217.wav|un almacén de ultramarinos, EL PUERTO DE VIGO, iluminado profusamente, centelleando en las botellas,						
0218.wav|en los frascos y en las latas de sardinas el reflejo de los quinqués;						
0219.wav|una botica soñolienta, hipnotizada por sus reverberos y sus aguas de colores, la botica de don Procopio Meconio;						
0220.wav|delante del mostrador un marchante en espera;						
0221.wav|detrás un mancebo que hacía píldoras, y en la puerta el dueño, de charla con un amigo						
0222.wav|Al pasar por el Convento reconocí al Padre Solís que sabía muy tranquilo, embozándose en la capa;						
0223.wav|dos calles adelante al doctor Sarmiento, lo mismo que siempre, con levita larga,						
0224.wav|el bastón bajo el brazo y el sombrero espeluznado caído hacia la nuca						
0225.wav|Por fin			 ¡la Casa de Diligencias! El zaguán abierto de par en par, personas que aguardaban,			
0226.wav|mozos dispuestos para cerrar la puerta luego que entrase el ruidoso vehículo						
0227.wav|¡Hemos llegado! El Administrador, un joven cejijunto, de negra y espesa barba,						
0228.wav|un poquito cargado de espaldas, sale a recibir a los viajeros, seguido de varios curiosos,						
0229.wav|los cuales, viendo que no han llegado amigos, ni parientes, ni personajes notables,						
0230.wav|ni muchachas bonitas, se retiran mohínos, haciendo un gesto de contrariedad						
0231.wav|Pronto las mulas quedan desenganchadas						
0232.wav|Un momento antes entraban sudorosas, echando espuma, sacando chispas del empedrado;						
0233.wav|ahora se pasean solas por el gran patio, arrastrando las cadenas, sonando sus cadenas tintineantes						
0234.wav|El ganadero recoge cajitas y bultos chicos, se echa al hombro el zarape, y baja de un salto						
0235.wav|Cortés y comedido ayuda a la anciana que no sin dificultades llega a tierra, toda envarada y adolorida						
0236.wav|Sigo yo, cargando el abrigo y la exigua maleta estudiantil, y buscando a mis tías						
0237.wav|¡En vano! ¡No estaban allí! Se habrían retardado						
0238.wav|Creerían que la diligencia llegaba más tarde						
0239.wav|Me dispuse a salir cuando sentí que me tocaban el hombro						
0240.wav|—¡Aquí estoy! ¿Ya no me conoces?						
0241.wav|¿No me conoce usted? Soy Andrés						
0242.wav|Era un antiguo criado nuestro que cuando la familia vino a menos dejó la casa y se dedicó al comercio						
0243.wav|—¡Andrés! ¿Tú? —¡Qué grande está usted!						
0244.wav|—No me hables así	 ¡De tú! ¡De tú!					
0245.wav|El buen viejo, trémulo de emoción, arrasados en lágrimas los ojos, me echó los brazos						
0246.wav|—¡Estás hecho un hombre! ¡Y qué buen mozo! ¡Si el amo viviera!						
0247.wav|¡Si tu mamá pudiera verte!			 —¿Y mis tías?			
0248.wav|—No vinieron			 Ya sabes como doña Carmelita está un poco mala			
0249.wav|—¿De qué? —pregunté inquieto						
0250.wav|—Lo de siempre			 Los achaques			
0251.wav|Anda, que te están esperando	 Dame la maletita					
0252.wav|¿No dejas nada? —No;						
0253.wav|mañana temprano vendrás por el baúl						
0254.wav|En marcha	 A la salida me despedí, muy de prisa, de mis compañeros de viaje					
0255.wav|Andrés no dejaba de verme ni de acariciarme						
0256.wav|A cada paso me decía						
0257.wav|—Pero, niño			 ¡si estás tamaño!			
0258.wav|CAPITULO DOS						
0259.wav|Tomé por calles que conducían a la casa paterna						
0260.wav|En ella debían vivir mis tías						
0261.wav|Nadie me había dicho lo contrario hasta que Andrés me detuvo—¿A dónde vas? ¿Ya no conoces tu tierra?						
0262.wav|—A casa	 —Si ya no viven donde antes					
0263.wav|—¿Pues dónde? —Por aquí						
0264.wav|Echándome el brazo me impulsó a seguir por una callejuela						
0265.wav|—¿Cuándo mudaron de casa?						
0266.wav|—¡Uh! ¡Hace tiempo! Como vendieron la casita						
0267.wav|Yo les dije que no lo hicieran; pero fué preciso						
0268.wav|Estas palabras del antiguo servidor de mis padres fueron para mí como un rayo de luz						
0269.wav|Todo lo comprendí						
0270.wav|La situación de mis tías era, sin duda, por extremo precaria						
0271.wav|Ahora me daba yo cuenta de la tristeza que informaba sus cartas;						
0272.wav|ahora estimaba yo en lo justo la magnitud de sus afanes y de sus sacrificios						
0273.wav|Andrés prosiguió—Están muy pobres						
0274.wav|No han querido decirte nada para no afligirte						
0275.wav|¡Las pobrecitas te quieren mucho!						
0276.wav|—¡Que si me quieren! ¡Vaya!						
0277.wav|—Nada les digas						
0278.wav|Veremos a ver por dónde salen						
0279.wav|Para tu gobierno	 ya no pueden seguir dándote la mesada					
0280.wav|Las ayudo cuanto puedo, pero ya comprenderás que no les doy mucho;						
0281.wav|los tiempos están malos;						
0282.wav|no se paga un peso						
0283.wav|Sin embargo, si quieres, haremos un esfuerzo, cueste lo que costare						
0284.wav|¿Tienes que estudiar mucho todavía?						
0285.wav|Pues si no es mucho, si no es mucho alcanzará						
0286.wav|¡Aunque me quede sin nada! Al fin, para lo que yo he de vivir						
0287.wav|Al fin no hago más que pagar lo que a los amos les debo						
0288.wav|Y sin dejarme contestar pasó a otra cosa						
0289.wav|—Pero, niño						
0290.wav|¡si estás tamaño! ¡qué grande! ¡qué buen mozo!						
0291.wav|Se detuvo delante de una casa de pobre apariencia	 Asió el llamador, y					
0292.wav|—¡Tan! ¡Tan! No tardaron en abrir						
0293.wav|Apareció una joven que me miró con insistente curiosidad						
0294.wav|—Entren			 —dijo			
0295.wav|—¡Doña Carmelita!—gritó Andrés, entrando,—¡Doña Carmelita! ¡Aquí está el niño! ¡Muy grande! Y			 ¡muy formal!			
0296.wav|No sabía yo por dónde dirigirme						
0297.wav|Llegaron a mis oídos voces conocidas, sonó en la cerradura de la puerta contigua ruido de llave, y salió mi tía Pepa, tendiendo los brazos	 					
0298.wav|—¡Muchacho! ¡Muchacho! ¡Mi Rorró, ven, ven para que te abrace!						
0299.wav|Estrechándome, repetía con su locuacidad de siempre—¡Niño de mi alma! ¡Si estás tan alto que no te alcanzo! Entra para que te veamos	 					
0300.wav|La emoción la ahogaba						
0301.wav|Me besó en las mejillas, como si fuera yo un chiquitín						
0302.wav|Estaba llorando						
0303.wav|Me dejó húmedo el rostro						
0304.wav|—¡Entra para que te vea Carmen!—Y agregó sigilosamente, agarrándome de un brazo—La pobrecilla está muy malita, muy malita	 					
0305.wav|Te vas a entristecer al verla						
0306.wav|No te lo hemos dicho para que no perdieras la tranquilidad en tus estudios						
0307.wav|El doctor Sarmiento dice que no tiene remedio;						
0308.wav|pero que la cosa va larga;						
0309.wav|vivirá así, tullida, más o menos, pero que eso de sanar, sólo por milagro						
0310.wav|Pero mira, mira, tengo mucha fe en la Santísima Virgen						
0311.wav|Entra, Rorró, entra						
0312.wav|La pobre Carmen se va a poner tan contenta						
0313.wav|Todito el santo día ha estado diciendo «¿ Por dónde vendrá mi señor don Rodolfo ?						
0314.wav|¿Por dónde vendrá?						
0315.wav|¡Dios quiera y no le pase una desgracia!»						
0316.wav|Entramos en la salita						
0317.wav|¡Qué pobre y qué triste! De una ojeada, a la luz de la vela que traía la joven que nos abrió la puerta, aprecié lo que encerraba, algunos muebles vetustos; 						
0318.wav|sillas seculares de alto respaldar y garras de león, resto de antiguos esplendores domésticos;						
0319.wav|dos rinconeras con sus nichos de hoja de lata;						
0320.wav|un sofá tapizado de cerda						
0321.wav|En la pieza siguiente, cerca de la ventana cerrada, yacía la enferma sentada en un sillón de vaqueta, envuelta en grueso pañolón de lana	 					
0322.wav|En la cabeza tenía un pañuelo blanco, atado bajo la barba						
0323.wav|—¡Rodolfito!—exclamó con acento débil—¡Rodolfito! ¡Ven, dame un abrazo;						
0324.wav|mira que no puedo levantarme!						
0325.wav|Llegué a su lado y me incliné para estrecharla contra mi pecho y darle un beso en la frente						
0326.wav|Tenía los ojos arrasados de lágrimas						
0327.wav|Apenas podía hablar						
0328.wav|Levantó el único brazo que tenía expedito, y me acariciaba con dulzura infantil						
0329.wav|—¡Aquí, a mi lado! Siéntate aquí, mientras te ponen la cena						
0330.wav|¿Tendrás hambre, no es cierto?						
0331.wav|Se come muy mal por esos caminos						
0332.wav|¡Pepa, Pepa! Pon la vela aquí, cerca, para que vea yo bien al señor de la casa						
0333.wav|Tía Carmen arrimó la mesita, en la cual, en un candelero de latón, ardía con luz rojiza una vela de sebo						
0334.wav|Como no me viese a su gusto, insistió impaciente La obedecieron						
0335.wav|Me senté a su lado						
0336.wav|Andrés y tía Pepa permanecían de pie delante de nosotros						
0337.wav|Desde la puerta, que daba paso a las habitaciones interiores, la joven nos veía						
0338.wav|Era alta y esbelta;						
0339.wav|vestía de blanco, y me pareció de singular hermosura						
0340.wav|La enferma secó sus lágrimas						
0341.wav|Siempre fué adusta y severa;						
0342.wav|jamás lisonjeaba, nunca tenía una frase dulce y afable						
0343.wav|La enfermedad había quebrantado aquel carácter entero, férreo, como de una pieza						
